,prob,correctness,awareness,confidence,success,sub,window,level
127,0.961038961038961,correct,aware,high confidence,high pos,MP1,1,"correct, aware, high confidence"
128,0.9274193548387096,incorrect,unaware,low confidence,low pos,MP2,1,"incorrect, unaware, low confidence"
129,0.07258064516129033,incorrect,unaware,low confidence,high pos,MP2,1,"incorrect, unaware, low confidence"
130,0.9523809523809523,incorrect,unaware,high confidence,low pos,MP2,1,"incorrect, unaware, high confidence"
131,0.047619047619047616,incorrect,unaware,high confidence,high pos,MP2,1,"incorrect, unaware, high confidence"
132,0.3333333333333333,incorrect,aware,low confidence,low pos,MP2,1,"incorrect, aware, low confidence"
133,0.6666666666666666,incorrect,aware,low confidence,high pos,MP2,1,"incorrect, aware, low confidence"
134,0.3333333333333333,incorrect,aware,high confidence,low pos,MP2,1,"incorrect, aware, high confidence"
135,0.6666666666666666,incorrect,aware,high confidence,high pos,MP2,1,"incorrect, aware, high confidence"
136,0.9363057324840764,correct,unaware,low confidence,low pos,MP2,1,"correct, unaware, low confidence"
137,0.06369426751592357,correct,unaware,low confidence,high pos,MP2,1,"correct, unaware, low confidence"
138,0.7457627118644068,correct,unaware,high confidence,low pos,MP2,1,"correct, unaware, high confidence"
139,0.2542372881355932,correct,unaware,high confidence,high pos,MP2,1,"correct, unaware, high confidence"
140,0.5694444444444444,correct,aware,low confidence,low pos,MP2,1,"correct, aware, low confidence"
141,0.4305555555555556,correct,aware,low confidence,high pos,MP2,1,"correct, aware, low confidence"
142,0.24,correct,aware,high confidence,low pos,MP2,1,"correct, aware, high confidence"
143,0.76,correct,aware,high confidence,high pos,MP2,1,"correct, aware, high confidence"
144,0.8620689655172413,incorrect,unaware,low confidence,low pos,NN,1,"incorrect, unaware, low confidence"
145,0.13793103448275862,incorrect,unaware,low confidence,high pos,NN,1,"incorrect, unaware, low confidence"
146,0.4,incorrect,unaware,high confidence,low pos,NN,1,"incorrect, unaware, high confidence"
147,0.6,incorrect,unaware,high confidence,high pos,NN,1,"incorrect, unaware, high confidence"
148,0.5714285714285714,incorrect,aware,low confidence,low pos,NN,1,"incorrect, aware, low confidence"
149,0.42857142857142855,incorrect,aware,low confidence,high pos,NN,1,"incorrect, aware, low confidence"
150,0.0,incorrect,aware,high confidence,low pos,NN,1,"incorrect, aware, high confidence"
151,1.0,incorrect,aware,high confidence,high pos,NN,1,"incorrect, aware, high confidence"
152,0.85,correct,unaware,low confidence,low pos,NN,1,"correct, unaware, low confidence"
153,0.15,correct,unaware,low confidence,high pos,NN,1,"correct, unaware, low confidence"
154,0.7,correct,unaware,high confidence,low pos,NN,1,"correct, unaware, high confidence"
155,0.3,correct,unaware,high confidence,high pos,NN,1,"correct, unaware, high confidence"
156,0.5590062111801242,correct,aware,low confidence,low pos,NN,1,"correct, aware, low confidence"
157,0.4409937888198758,correct,aware,low confidence,high pos,NN,1,"correct, aware, low confidence"
158,0.20535714285714285,correct,aware,high confidence,low pos,NN,1,"correct, aware, high confidence"
159,0.7946428571428571,correct,aware,high confidence,high pos,NN,1,"correct, aware, high confidence"
160,0.8055555555555556,incorrect,unaware,low confidence,low pos,RP,1,"incorrect, unaware, low confidence"
161,0.19444444444444445,incorrect,unaware,low confidence,high pos,RP,1,"incorrect, unaware, low confidence"
162,0.5128205128205128,incorrect,unaware,high confidence,low pos,RP,1,"incorrect, unaware, high confidence"
163,0.48717948717948717,incorrect,unaware,high confidence,high pos,RP,1,"incorrect, unaware, high confidence"
164,0.7777777777777778,incorrect,aware,low confidence,low pos,RP,1,"incorrect, aware, low confidence"
165,0.2222222222222222,incorrect,aware,low confidence,high pos,RP,1,"incorrect, aware, low confidence"
166,0.2857142857142857,incorrect,aware,high confidence,low pos,RP,1,"incorrect, aware, high confidence"
167,0.7142857142857143,incorrect,aware,high confidence,high pos,RP,1,"incorrect, aware, high confidence"
168,0.8391608391608392,correct,unaware,low confidence,low pos,RP,1,"correct, unaware, low confidence"
169,0.16083916083916083,correct,unaware,low confidence,high pos,RP,1,"correct, unaware, low confidence"
170,0.36054421768707484,correct,unaware,high confidence,low pos,RP,1,"correct, unaware, high confidence"
171,0.6394557823129252,correct,unaware,high confidence,high pos,RP,1,"correct, unaware, high confidence"
172,0.47368421052631576,correct,aware,low confidence,low pos,RP,1,"correct, aware, low confidence"
173,0.5263157894736842,correct,aware,low confidence,high pos,RP,1,"correct, aware, low confidence"
174,0.09523809523809523,correct,aware,high confidence,low pos,RP,1,"correct, aware, high confidence"
175,0.9047619047619048,correct,aware,high confidence,high pos,RP,1,"correct, aware, high confidence"
176,0.40229885057471265,incorrect,unaware,low confidence,low pos,SD,1,"incorrect, unaware, low confidence"
177,0.5977011494252874,incorrect,unaware,low confidence,high pos,SD,1,"incorrect, unaware, low confidence"
178,0.07272727272727272,incorrect,unaware,high confidence,low pos,SD,1,"incorrect, unaware, high confidence"
179,0.9272727272727272,incorrect,unaware,high confidence,high pos,SD,1,"incorrect, unaware, high confidence"
180,0.3333333333333333,incorrect,aware,low confidence,low pos,SD,1,"incorrect, aware, low confidence"
181,0.6666666666666666,incorrect,aware,low confidence,high pos,SD,1,"incorrect, aware, low confidence"
182,0.15789473684210525,incorrect,aware,high confidence,low pos,SD,1,"incorrect, aware, high confidence"
183,0.8421052631578947,incorrect,aware,high confidence,high pos,SD,1,"incorrect, aware, high confidence"
