experiment_test,experiment_train,fold,model,participant,score,window
ATT,POS,90,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,91,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,92,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,93,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,94,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,95,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,96,LogisticRegression,BG,0.652117871905418,0
ATT,POS,97,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,98,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,99,LogisticRegression,BG,0.652117871905418,0
ATT,POS,100,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,1,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,2,RandomForestClassifier,BG,0.6458620383128141,0
ATT,POS,3,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,4,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,5,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,6,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,7,RandomForestClassifier,BG,0.6458620383128141,0
ATT,POS,8,RandomForestClassifier,BG,0.6458620383128141,0
ATT,POS,9,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,10,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,11,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,12,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,13,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,14,RandomForestClassifier,BG,0.6458620383128141,0
ATT,POS,15,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,16,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,17,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,18,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,19,RandomForestClassifier,BG,0.6458620383128141,0
ATT,POS,20,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,21,RandomForestClassifier,BG,0.6458620383128141,0
