"","firstgabor","corrAns","blocks.thisRepN","blocks.thisTrialN","blocks.thisN","blocks.thisIndex","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_2.keys","key_resp_2.rt","resp.keys","resp.corr","resp.rt","resp_mrating.keys","resp_mrating.rt","lumi","mean","luminance","expName","participant","frameRate","session","date","X"
"41",2,"down",0,0,0,0,4,0,40,5,1,0.564824400748,2,1,0.893655988786,1,0.587495086362,0.079934211,0.756097560976,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"42",2,"down",0,0,0,0,4,1,41,1,1,0.235453804493,1,0,1.22232972442,1,0.658774688021,0.079934211,0.738095238095,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"43",1,"left",0,0,0,0,4,2,42,0,1,0.21186680491,2,0,0.634755711852,1,0.611481337033,0.079934211,0.720930232558,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"44",1,"left",0,0,0,0,4,3,43,6,2,0.635356321007,1,1,0.858290504639,1,0.411100027221,0.079934211,0.727272727273,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"45",1,"left",0,0,0,0,4,4,44,8,2,0.458046487918,1,1,0.55243491187,1,0.340514591144,0.079934211,0.733333333333,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"46",2,"down",0,0,0,0,4,5,45,7,1,3.05868913972,1,0,0.42312761058,2,0.411098487197,0.079934211,0.717391304348,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"47",1,"left",0,0,0,0,4,6,46,2,2,0.329485713009,1,1,0.599551545163,2,3.91673016055,0.079934211,0.723404255319,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"48",2,"down",0,0,0,0,4,7,47,9,1,0.517791313729,1,0,0.670065370146,2,1.50516504624,0.079934211,0.708333333333,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"49",1,"left",0,0,0,0,4,8,48,4,1,1.05882697182,1,1,0.517264240692,2,0.905115303483,0.079934211,0.714285714286,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"50",2,"down",0,0,0,0,4,9,49,3,1,0.129503654283,1,0,1.35244823307,1,0.446349624601,0.079934211,0.7,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"51",NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"52",2,"down",1,0,1,0,0,0,0,3,1,0.670642493944,1,0,0.481660822919,1,0.257962017631,0.079934211,0,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"53",2,"down",1,0,1,0,0,1,1,9,1,0.423614643005,1,0,0.846576701062,1,0.952226161688,0.079934211,0,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"54",2,"down",1,0,1,0,0,2,2,5,2,1.30586560292,2,1,0.705421229148,1,0.446454731202,0.079934211,0.333333333333,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"55",1,"left",1,0,1,0,0,3,3,4,1,1.20020382211,1,1,1.56331055767,1,1.18818393886,0.079934211,0.5,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"56",1,"left",1,0,1,0,0,4,4,2,2,0.60011095869,1,1,0.587758430376,2,0.822823378941,0.079934211,0.6,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"57",1,"left",1,0,1,0,0,5,5,8,1,1.44706381049,1,1,0.48186487603,2,0.30527846897,0.079934211,0.666666666667,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"58",2,"down",1,0,1,0,0,6,6,7,1,0.670637103864,1,0,0.364240192841,1,0.246419926671,0.079934211,0.571428571429,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"59",1,"left",1,0,1,0,0,7,7,6,2,1.10538765663,1,1,0.447066505529,1,0.740591515318,0.079934211,0.625,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"60",1,"left",1,0,1,0,0,8,8,0,1,2.69404084065,1,1,1.10538226655,2,0.446388895198,0.079934211,0.666666666667,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"61",2,"down",1,0,1,0,0,9,9,1,2,3.61157912852,2,1,1.03417697103,1,0.411718346646,0.079934211,0.7,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"62",2,"down",1,0,1,0,1,0,10,1,2,2.6940766462,2,1,0.575984180879,1,0.575117917671,0.079934211,0.727272727273,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"63",2,"down",1,0,1,0,1,1,11,5,2,1.40000685311,2,1,0.434870289597,1,0.364055390024,0.079934211,0.75,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"64",1,"left",1,0,1,0,1,2,12,0,1,3.5409709771,1,1,0.458355262626,2,0.445750940473,0.079934211,0.769230769231,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
