awareness_4,awareness_3,awareness_2,awareness_1,confidence_4,confidence_3,confidence_2,confidence_1,correct_4,correct_3,correct_2,correct_1,attention,sub_name,blocks
1,1,1,0,1,1,1,1,1,0,1,0,0,AS,1
1,1,0,1,1,1,1,0,0,1,0,1,0,AS,1
1,0,1,1,1,1,0,1,1,0,1,1,1,AS,1
0,1,1,1,1,0,1,1,0,1,1,1,1,AS,1
1,1,1,1,0,1,1,1,1,1,1,1,1,AS,1
1,1,1,1,1,1,1,0,1,1,1,0,0,AS,1
1,1,1,1,1,1,0,1,1,1,0,1,0,AS,1
1,1,1,0,1,0,1,0,1,0,1,0,0,AS,1
1,1,0,1,0,1,0,1,0,1,0,1,1,AS,1
1,0,1,1,1,0,1,1,1,0,1,1,0,AS,1
0,1,1,1,0,1,1,1,0,1,1,1,0,AS,1
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,1
1,1,1,1,1,1,1,1,1,1,1,1,0,AS,1
1,1,1,1,1,1,1,1,1,1,1,1,0,AS,1
1,1,1,0,1,1,1,0,1,1,1,1,0,AS,1
1,1,0,0,1,1,0,0,1,1,1,0,0,AS,1
1,0,0,0,1,0,0,0,1,1,0,0,0,AS,1
0,0,0,1,0,0,0,1,1,0,0,1,0,AS,1
0,0,1,0,0,0,1,0,0,0,1,1,0,AS,1
0,1,0,1,0,1,0,0,0,1,1,0,1,AS,1
1,0,1,0,1,0,0,0,1,1,0,0,0,AS,1
0,1,0,1,0,0,0,0,1,0,0,1,0,AS,1
1,0,1,1,0,0,0,0,0,0,1,1,0,AS,1
0,1,1,1,0,0,0,1,0,1,1,1,0,AS,1
1,1,1,0,0,0,1,1,1,1,1,0,1,AS,1
1,1,0,1,0,1,1,1,1,1,0,1,1,AS,1
1,0,1,1,1,1,1,1,1,0,1,1,1,AS,1
0,1,1,1,1,1,1,1,0,1,1,1,0,AS,1
1,1,0,1,1,1,0,1,1,1,0,1,1,AS,2
1,0,1,1,1,0,1,1,1,0,1,1,1,AS,2
0,1,1,1,0,1,1,1,0,1,1,1,0,AS,2
1,1,1,1,1,1,1,0,1,1,1,1,0,AS,2
1,1,1,1,1,1,0,1,1,1,1,1,0,AS,2
1,1,1,1,1,0,1,1,1,1,1,1,0,AS,2
1,1,1,1,0,1,1,0,1,1,1,1,0,AS,2
1,1,1,1,1,1,0,1,1,1,1,1,0,AS,2
1,1,1,1,1,0,1,1,1,1,1,1,0,AS,2
1,1,1,0,0,1,1,1,1,1,1,1,0,AS,2
1,1,0,1,1,1,1,1,1,1,1,1,0,AS,2
1,0,1,1,1,1,1,0,1,1,1,1,0,AS,2
0,1,1,1,1,1,0,0,1,1,1,1,0,AS,2
1,1,1,1,1,0,0,1,1,1,1,1,0,AS,2
1,1,1,1,0,0,1,1,1,1,1,1,0,AS,2
1,1,1,1,0,1,1,1,1,1,1,1,1,AS,2
1,1,1,1,1,1,1,0,1,1,1,1,0,AS,2
1,1,1,1,1,1,0,1,1,1,1,1,0,AS,2
1,1,1,1,1,0,1,1,1,1,1,1,0,AS,2
1,1,1,1,0,1,1,1,1,1,1,0,0,AS,2
1,1,1,1,1,1,1,0,1,1,0,1,1,AS,2
1,1,1,1,1,1,0,1,1,0,1,1,0,AS,2
1,1,1,1,1,0,1,1,0,1,1,1,0,AS,2
1,1,1,1,0,1,1,0,1,1,1,1,0,AS,2
1,1,1,1,1,1,0,0,1,1,1,1,0,AS,2
1,1,1,1,1,0,0,0,1,1,1,0,0,AS,2
1,1,1,1,0,0,0,0,1,1,0,1,0,AS,2
1,1,1,1,0,0,0,1,1,0,1,1,1,AS,2
1,1,1,1,0,0,1,1,0,1,1,1,0,AS,2
1,1,1,1,0,1,1,1,1,1,1,1,0,AS,2
1,1,1,1,1,1,1,1,1,1,1,1,0,AS,2
1,1,1,1,1,1,1,1,1,1,1,1,0,AS,2
1,1,1,1,1,1,1,1,1,1,1,1,0,AS,2
1,1,1,1,1,1,1,1,1,1,1,1,0,AS,2
1,1,1,1,1,1,1,1,1,1,1,1,0,AS,2
1,1,1,0,1,1,1,0,1,1,1,1,0,AS,2
1,1,0,1,1,1,0,1,1,1,1,1,1,AS,2
1,0,1,0,1,0,1,0,1,1,1,1,0,AS,2
0,1,0,1,0,1,0,0,1,1,1,1,1,AS,2
1,0,1,0,1,0,0,0,1,1,1,1,1,AS,2
0,1,0,0,0,0,0,1,1,1,1,1,0,AS,2
1,0,0,0,0,0,1,0,1,1,1,1,1,AS,2
0,0,0,1,0,1,0,1,1,1,1,1,1,AS,2
0,0,1,1,1,0,1,1,1,1,1,1,0,AS,2
0,1,1,0,0,1,1,1,1,1,1,1,0,AS,2
1,1,0,1,1,1,1,1,1,1,1,1,1,AS,2
0,1,0,0,0,1,0,0,1,1,1,0,1,AS,3
1,0,0,1,1,0,0,1,1,1,0,1,0,AS,3
0,0,1,1,0,0,1,0,1,0,1,1,0,AS,3
0,1,1,0,0,1,0,0,0,1,1,0,0,AS,3
1,1,0,1,1,0,0,1,1,1,0,1,0,AS,3
1,0,1,1,0,0,1,1,1,0,1,1,0,AS,3
0,1,1,1,0,1,1,1,0,1,1,1,0,AS,3
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,3
1,1,1,1,1,1,1,1,1,1,1,1,0,AS,3
1,1,1,0,1,1,1,0,1,1,1,0,0,AS,3
1,1,0,1,1,1,0,1,1,1,0,1,1,AS,3
1,0,1,1,1,0,1,1,1,0,1,1,0,AS,3
0,1,1,1,0,1,1,1,0,1,1,1,0,AS,3
1,1,1,1,1,1,1,1,1,1,1,1,0,AS,3
1,1,1,0,1,1,1,0,1,1,1,1,0,AS,3
1,1,0,1,1,1,0,0,1,1,1,1,0,AS,3
1,0,1,1,1,0,0,1,1,1,1,1,1,AS,3
0,1,1,1,0,0,1,1,1,1,1,1,1,AS,3
1,1,1,1,0,1,1,1,1,1,1,1,1,AS,3
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,3
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,3
1,1,1,0,1,1,1,1,1,1,1,1,0,AS,3
1,1,0,1,1,1,1,1,1,1,1,1,0,AS,3
1,0,1,1,1,1,1,1,1,1,1,1,1,AS,3
0,1,1,1,1,1,1,1,1,1,1,1,0,AS,3
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,3
1,1,1,1,1,1,1,1,1,1,1,1,0,AS,3
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,3
1,1,1,1,1,1,1,1,1,1,1,1,0,AS,3
1,1,1,1,1,1,1,1,1,1,1,1,0,AS,3
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,3
1,1,1,1,1,1,1,1,1,1,1,1,0,AS,3
1,1,1,0,1,1,1,0,1,1,1,1,0,AS,3
1,1,0,1,1,1,0,1,1,1,1,1,1,AS,3
1,0,1,0,1,0,1,0,1,1,1,1,0,AS,3
0,1,0,0,0,1,0,0,1,1,1,1,0,AS,3
1,0,0,1,1,0,0,0,1,1,1,1,0,AS,3
0,0,1,1,0,0,0,1,1,1,1,1,0,AS,3
0,1,1,1,0,0,1,1,1,1,1,1,0,AS,3
1,1,1,1,0,1,1,1,1,1,1,1,1,AS,3
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,3
1,1,1,0,1,1,1,0,1,1,1,0,0,AS,3
1,1,0,1,1,1,0,1,1,1,0,1,0,AS,3
1,0,1,1,1,0,1,0,1,0,1,1,0,AS,3
0,1,1,1,0,1,0,1,0,1,1,1,0,AS,3
1,1,1,0,1,0,1,0,1,1,1,0,0,AS,3
0,0,0,1,0,0,0,1,0,1,0,1,1,AS,4
0,0,1,0,0,0,1,0,1,0,1,1,0,AS,4
0,1,0,1,0,1,0,0,0,1,1,0,0,AS,4
1,0,1,0,1,0,0,0,1,1,0,1,0,AS,4
0,1,0,1,0,0,0,1,1,0,1,1,1,AS,4
1,0,1,1,0,0,1,1,0,1,1,1,1,AS,4
0,1,1,1,0,1,1,1,1,1,1,1,0,AS,4
1,1,1,1,1,1,1,0,1,1,1,1,0,AS,4
1,1,1,1,1,1,0,1,1,1,1,1,0,AS,4
1,1,1,1,1,0,1,1,1,1,1,1,1,AS,4
1,1,1,0,0,1,1,0,1,1,1,0,0,AS,4
1,1,0,1,1,1,0,1,1,1,0,1,0,AS,4
1,0,1,1,1,0,1,1,1,0,1,1,1,AS,4
0,1,1,1,0,1,1,1,0,1,1,1,1,AS,4
1,1,1,0,1,1,1,0,1,1,1,1,0,AS,4
1,1,0,0,1,1,0,0,1,1,1,1,0,AS,4
1,0,0,1,1,0,0,1,1,1,1,1,0,AS,4
0,0,1,1,0,0,1,1,1,1,1,1,0,AS,4
0,1,1,1,0,1,1,1,1,1,1,1,0,AS,4
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,4
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,4
1,1,1,1,1,1,1,1,1,1,1,0,0,AS,4
1,1,1,1,1,1,1,1,1,1,0,1,1,AS,4
1,1,1,0,1,1,1,0,1,0,1,0,1,AS,4
1,1,0,1,1,1,0,1,0,1,0,1,0,AS,4
1,0,1,1,1,0,1,1,1,0,1,1,0,AS,4
0,1,1,0,0,1,1,1,0,1,1,0,1,AS,4
1,1,0,1,1,1,1,1,1,1,0,1,1,AS,4
1,0,1,1,1,1,1,1,1,0,1,1,0,AS,4
0,1,1,1,1,1,1,1,0,1,1,1,1,AS,4
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,4
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,4
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,4
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,4
1,1,1,0,1,1,1,0,1,1,1,1,1,AS,4
1,1,0,1,1,1,0,0,1,1,1,1,0,AS,4
1,0,1,1,1,0,0,1,1,1,1,1,1,AS,4
0,1,1,1,0,0,1,1,1,1,1,1,0,AS,4
1,1,1,1,0,1,1,0,1,1,1,1,0,AS,4
1,1,1,1,1,1,0,1,1,1,1,1,1,AS,4
1,1,1,1,1,0,1,1,1,1,1,1,0,AS,4
1,1,1,1,0,1,1,1,1,1,1,0,0,AS,4
1,1,1,1,1,1,1,1,1,1,0,1,1,AS,4
1,1,1,1,1,1,1,1,1,0,1,1,1,AS,4
1,1,1,1,1,1,1,0,0,1,1,0,1,AS,4
1,1,1,1,1,1,0,0,1,1,0,0,0,AS,4
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,5
1,1,1,1,1,1,1,1,1,1,1,0,1,AS,5
1,1,1,1,1,1,1,1,1,1,0,1,0,AS,5
1,1,1,1,1,1,1,1,1,0,1,1,0,AS,5
1,1,1,0,1,1,1,0,0,1,1,1,0,AS,5
1,1,0,1,1,1,0,1,1,1,1,1,1,AS,5
1,0,1,1,1,0,1,1,1,1,1,1,1,AS,5
0,1,1,1,0,1,1,1,1,1,1,1,0,AS,5
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,5
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,5
1,1,1,1,1,1,1,1,1,1,1,1,0,AS,5
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,5
1,1,1,1,1,1,1,0,1,1,1,1,1,AS,5
1,1,1,1,1,1,0,1,1,1,1,1,1,AS,5
1,1,1,1,1,0,1,0,1,1,1,1,0,AS,5
1,1,1,1,0,1,0,1,1,1,1,1,0,AS,5
1,1,1,1,1,0,1,1,1,1,1,1,1,AS,5
1,1,1,1,0,1,1,1,1,1,1,1,0,AS,5
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,5
1,1,1,1,1,1,1,1,1,1,1,1,0,AS,5
1,1,1,1,1,1,1,0,1,1,1,1,0,AS,5
1,1,1,1,1,1,0,1,1,1,1,1,1,AS,5
1,1,1,0,1,0,1,0,1,1,1,1,0,AS,5
1,1,0,1,0,1,0,1,1,1,1,1,0,AS,5
1,0,1,1,1,0,1,1,1,1,1,0,1,AS,5
0,1,1,0,0,1,1,0,1,1,0,1,0,AS,5
1,1,0,1,1,1,0,1,1,0,1,1,1,AS,5
1,0,1,1,1,0,1,1,0,1,1,1,1,AS,5
0,1,1,1,0,1,1,1,1,1,1,1,1,AS,5
1,1,1,1,1,1,1,1,1,1,1,1,0,AS,5
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,5
1,1,1,1,1,1,1,1,1,1,1,1,0,AS,5
1,1,1,0,1,1,1,0,1,1,1,1,0,AS,5
1,1,0,1,1,1,0,1,1,1,1,1,0,AS,5
1,0,1,1,1,0,1,1,1,1,1,1,1,AS,5
0,1,1,0,0,1,1,0,1,1,1,0,1,AS,5
1,1,0,1,1,1,0,0,1,1,0,1,0,AS,5
1,0,1,0,1,0,0,0,1,0,1,0,0,AS,5
0,1,0,1,0,0,0,1,0,1,0,1,1,AS,5
1,0,1,1,0,0,1,1,1,0,1,1,1,AS,5
0,1,1,1,0,1,1,1,0,1,1,0,1,AS,5
1,1,1,1,1,1,1,1,1,1,0,1,1,AS,5
1,1,1,1,1,1,1,1,1,0,1,0,1,AS,5
1,1,1,1,1,1,1,1,0,1,0,1,1,AS,5
1,1,1,0,1,1,1,0,1,0,1,0,0,AS,5
1,1,0,1,1,1,0,0,0,1,0,1,0,AS,5
0,1,0,0,0,1,0,0,1,1,1,1,1,AS,6
1,0,0,1,1,0,0,0,1,1,1,0,1,AS,6
0,0,1,1,0,0,0,1,1,1,0,1,0,AS,6
0,1,1,1,0,0,1,1,1,0,1,1,0,AS,6
1,1,1,1,0,1,1,1,0,1,1,1,1,AS,6
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,6
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,6
1,1,1,1,1,1,1,1,1,1,1,0,1,AS,6
1,1,1,1,1,1,1,1,1,1,0,1,0,AS,6
1,1,1,1,1,1,1,1,1,0,1,0,1,AS,6
1,1,1,1,1,1,1,1,0,1,0,1,0,AS,6
1,1,1,1,1,1,1,1,1,0,1,1,0,AS,6
1,1,1,1,1,1,1,1,0,1,1,1,0,AS,6
1,1,1,1,1,1,1,0,1,1,1,1,1,AS,6
1,1,1,0,1,1,0,0,1,1,1,0,0,AS,6
1,1,0,0,1,0,0,0,1,1,0,0,0,AS,6
1,0,0,1,0,0,0,1,1,0,0,1,1,AS,6
0,0,1,1,0,0,1,1,0,0,1,1,0,AS,6
0,1,1,1,0,1,1,1,0,1,1,1,0,AS,6
1,1,1,1,1,1,1,1,1,1,1,1,0,AS,6
1,1,1,1,1,1,1,1,1,1,1,1,0,AS,6
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,6
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,6
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,6
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,6
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,6
1,1,1,0,1,1,1,0,1,1,1,1,0,AS,6
1,1,0,1,1,1,0,1,1,1,1,1,1,AS,6
1,0,1,1,1,0,1,1,1,1,1,1,0,AS,6
0,1,1,1,0,1,1,1,1,1,1,1,1,AS,6
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,6
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,6
1,1,1,1,1,1,1,0,1,1,1,0,0,AS,6
1,1,1,1,1,1,0,0,1,1,0,1,1,AS,6
1,1,1,1,1,0,0,0,1,0,1,1,0,AS,6
1,1,1,1,0,0,0,0,0,1,1,0,0,AS,6
1,1,1,1,0,0,0,1,1,1,0,1,0,AS,6
1,1,1,1,0,0,1,0,1,0,1,0,0,AS,6
1,1,1,0,0,1,0,0,0,1,0,0,0,AS,6
1,1,0,0,1,0,0,0,1,0,0,0,0,AS,6
1,0,0,0,0,0,0,0,0,0,0,0,0,AS,6
0,0,0,0,0,0,0,0,0,0,0,0,1,AS,6
0,0,0,0,0,0,0,0,0,0,0,0,0,AS,6
0,0,0,1,0,0,0,1,0,0,0,1,1,AS,6
0,0,1,1,0,0,1,1,0,0,1,0,0,AS,6
0,1,1,1,0,1,1,0,0,1,0,1,1,AS,6
0,1,1,1,0,1,0,0,1,0,1,1,1,AS,7
1,1,1,1,1,0,0,1,0,1,1,1,1,AS,7
1,1,1,0,0,0,1,0,1,1,1,0,0,AS,7
1,1,0,0,0,1,0,0,1,1,0,1,0,AS,7
1,0,0,1,1,0,0,1,1,0,1,1,1,AS,7
0,0,1,1,0,0,1,1,0,1,1,1,1,AS,7
0,1,1,1,0,1,1,1,1,1,1,0,0,AS,7
1,1,1,0,1,1,1,0,1,1,0,0,1,AS,7
1,1,0,0,1,1,0,0,1,0,0,1,0,AS,7
1,0,0,0,1,0,0,0,0,0,1,1,0,AS,7
0,0,0,1,0,0,0,0,0,1,1,1,1,AS,7
0,0,1,0,0,0,0,0,1,1,1,0,0,AS,7
0,1,0,0,0,0,0,0,1,1,0,0,0,AS,7
1,0,0,1,0,0,0,1,1,0,0,1,1,AS,7
0,0,1,1,0,0,1,0,0,0,1,1,1,AS,7
0,1,1,0,0,1,0,0,0,1,1,1,1,AS,7
1,1,0,1,1,0,0,1,1,1,1,1,1,AS,7
1,0,1,1,0,0,1,1,1,1,1,1,1,AS,7
0,1,1,1,0,1,1,0,1,1,1,1,1,AS,7
1,1,1,1,1,1,0,1,1,1,1,1,1,AS,7
1,1,1,1,1,0,1,0,1,1,1,1,1,AS,7
1,1,1,1,0,1,0,1,1,1,1,1,0,AS,7
1,1,1,0,1,0,1,0,1,1,1,0,1,AS,7
1,1,0,1,0,1,0,1,1,1,0,1,0,AS,7
1,0,1,1,1,0,1,1,1,0,1,1,1,AS,7
0,1,1,1,0,1,1,1,0,1,1,0,0,AS,7
1,1,1,1,1,1,1,1,1,1,0,1,1,AS,7
1,1,1,1,1,1,1,1,1,0,1,1,1,AS,7
1,1,1,1,1,1,1,1,0,1,1,1,1,AS,7
1,1,1,1,1,1,1,0,1,1,1,1,1,AS,7
1,1,1,0,1,1,0,0,1,1,1,0,0,AS,7
1,1,0,0,1,0,0,0,1,1,0,1,0,AS,7
1,0,0,0,0,0,0,1,1,0,1,1,0,AS,7
0,0,0,1,0,0,1,1,0,1,1,1,1,AS,7
0,0,1,0,0,1,1,0,1,1,1,0,1,AS,7
0,1,0,0,1,1,0,0,1,1,0,1,1,AS,7
1,0,0,0,1,0,0,0,1,0,1,1,1,AS,7
0,0,0,1,0,0,0,0,0,1,1,1,0,AS,7
0,0,1,1,0,0,0,1,1,1,1,1,1,AS,7
0,1,1,1,0,0,1,0,1,1,1,1,0,AS,7
1,1,1,1,0,1,0,1,1,1,1,1,1,AS,7
1,1,1,1,1,0,1,1,1,1,1,1,1,AS,7
1,1,1,1,0,1,1,1,1,1,1,1,1,AS,7
1,1,1,1,1,1,1,1,1,1,1,1,0,AS,7
1,1,1,1,1,1,1,0,1,1,1,1,1,AS,7
1,1,1,0,1,1,0,0,1,1,1,0,1,AS,7
0,1,1,1,0,1,1,0,1,1,0,0,1,AS,8
1,1,1,1,1,1,0,1,1,0,0,1,1,AS,8
1,1,1,1,1,0,1,1,0,0,1,1,1,AS,8
1,1,1,1,0,1,1,1,0,1,1,0,1,AS,8
1,1,1,1,1,1,1,1,1,1,0,1,1,AS,8
1,1,1,1,1,1,1,1,1,0,1,1,1,AS,8
1,1,1,1,1,1,1,1,0,1,1,1,1,AS,8
1,1,1,0,1,1,1,0,1,1,1,1,0,AS,8
1,1,0,0,1,1,0,0,1,1,1,0,0,AS,8
1,0,0,0,1,0,0,0,1,1,0,1,0,AS,8
0,0,0,0,0,0,0,0,1,0,1,1,0,AS,8
0,0,0,1,0,0,0,1,0,1,1,1,1,AS,8
0,0,1,1,0,0,1,0,1,1,1,1,1,AS,8
0,1,1,1,0,1,0,1,1,1,1,1,1,AS,8
1,1,1,1,1,0,1,1,1,1,1,1,1,AS,8
1,1,1,1,0,1,1,1,1,1,1,1,1,AS,8
1,1,1,1,1,1,1,1,1,1,1,0,1,AS,8
1,1,1,1,1,1,1,1,1,1,0,1,0,AS,8
1,1,1,1,1,1,1,1,1,0,1,0,1,AS,8
1,1,1,0,1,1,1,0,0,1,0,0,0,AS,8
1,1,0,1,1,1,0,1,1,0,0,1,0,AS,8
1,0,1,1,1,0,1,0,0,0,1,1,1,AS,8
0,1,1,1,0,1,0,0,0,1,1,1,1,AS,8
1,1,1,1,1,0,0,0,1,1,1,0,1,AS,8
1,1,1,1,0,0,0,0,1,1,0,1,1,AS,8
1,1,1,1,0,0,0,1,1,0,1,1,1,AS,8
1,1,1,1,0,0,1,1,0,1,1,1,1,AS,8
1,1,1,1,0,1,1,1,1,1,1,1,1,AS,8
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,8
1,1,1,1,1,1,1,1,1,1,1,1,0,AS,8
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,8
1,1,1,1,1,1,1,0,1,1,1,1,0,AS,8
1,1,1,1,1,1,0,1,1,1,1,1,1,AS,8
1,1,1,1,1,0,1,1,1,1,1,1,1,AS,8
1,1,1,1,0,1,1,1,1,1,1,1,1,AS,8
1,1,1,1,1,1,1,1,1,1,1,0,0,AS,8
1,1,1,0,1,1,1,0,1,1,0,1,0,AS,8
1,1,0,1,1,1,0,1,1,0,1,1,1,AS,8
1,0,1,0,1,0,1,0,0,1,1,0,0,AS,8
0,1,0,0,0,1,0,0,1,1,0,0,1,AS,8
1,0,0,1,1,0,0,1,1,0,0,1,1,AS,8
0,0,1,1,0,0,1,1,0,0,1,1,0,AS,8
0,1,1,0,0,1,1,0,0,1,1,0,0,AS,8
1,1,0,0,1,1,0,0,1,1,0,0,0,AS,8
1,0,0,0,1,0,0,0,1,0,0,1,0,AS,8
0,0,0,0,0,0,0,0,0,0,1,1,0,AS,8
0,0,1,1,0,0,1,1,1,0,1,1,1,AS,9
0,1,1,1,0,1,1,1,0,1,1,1,1,AS,9
1,1,1,1,1,1,1,1,1,1,1,0,0,AS,9
1,1,1,1,1,1,1,1,1,1,0,1,0,AS,9
1,1,1,1,1,1,1,0,1,0,1,1,1,AS,9
1,1,1,1,1,1,0,1,0,1,1,1,1,AS,9
1,1,1,1,1,0,1,1,1,1,1,1,1,AS,9
1,1,1,1,0,1,1,1,1,1,1,1,0,AS,9
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,9
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,9
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,9
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,9
1,1,1,1,1,1,1,1,1,1,1,1,1,AS,9
1,1,1,1,1,1,1,1,1,1,1,1,0,AS,9
1,1,1,0,1,1,1,0,1,1,1,0,0,AS,9
1,1,0,0,1,1,0,0,1,1,0,1,0,AS,9
1,0,0,0,1,0,0,0,1,0,1,1,0,AS,9
0,0,0,0,0,0,0,0,0,1,1,0,0,AS,9
0,0,0,1,0,0,0,1,1,1,0,1,1,AS,9
0,0,1,1,0,0,1,1,1,0,1,0,1,AS,9
0,1,1,1,0,1,1,0,0,1,0,0,1,AS,9
1,1,1,1,1,1,0,1,1,0,0,1,1,AS,9
1,1,1,1,1,0,1,1,0,0,1,0,1,AS,9
1,1,1,1,0,1,1,0,0,1,0,1,1,AS,9
1,1,1,1,1,1,0,1,1,0,1,1,1,AS,9
1,1,1,1,1,0,1,0,0,1,1,1,1,AS,9
1,1,1,1,0,1,0,0,1,1,1,1,1,AS,9
1,1,1,1,1,0,0,1,1,1,1,1,1,AS,9
1,1,1,0,0,0,1,0,1,1,1,1,0,AS,9
1,1,0,1,0,1,0,1,1,1,1,1,0,AS,9
1,0,1,1,1,0,1,1,1,1,1,1,0,AS,9
0,1,1,1,0,1,1,1,1,1,1,1,1,AS,9
