fold,model,score,test,train,window
1,LogisticRegression,0.5853320935097676,POS,ATT,0
2,LogisticRegression,0.5806631102233896,POS,ATT,0
3,LogisticRegression,0.5811566761728466,POS,ATT,0
4,LogisticRegression,0.5839221321836786,POS,ATT,0
5,LogisticRegression,0.5810575769490568,POS,ATT,0
6,LogisticRegression,0.5829004209676966,POS,ATT,0
7,LogisticRegression,0.5788787373975405,POS,ATT,0
8,LogisticRegression,0.5819403508464235,POS,ATT,0
9,LogisticRegression,0.5798776539621603,POS,ATT,0
10,LogisticRegression,0.5875941484329876,POS,ATT,0
11,LogisticRegression,0.5805661492244111,POS,ATT,0
12,LogisticRegression,0.5897337251029988,POS,ATT,0
13,LogisticRegression,0.5854067027361329,POS,ATT,0
14,LogisticRegression,0.5828929454431813,POS,ATT,0
15,LogisticRegression,0.5843368545068262,POS,ATT,0
16,LogisticRegression,0.589985241074711,POS,ATT,0
17,LogisticRegression,0.5803310829370569,POS,ATT,0
18,LogisticRegression,0.5816735557956947,POS,ATT,0
19,LogisticRegression,0.5828307808659482,POS,ATT,0
20,LogisticRegression,0.5887970586085848,POS,ATT,0
21,LogisticRegression,0.5878804039579761,POS,ATT,0
22,LogisticRegression,0.5770317488042933,POS,ATT,0
23,LogisticRegression,0.5880943829290413,POS,ATT,0
24,LogisticRegression,0.5847417308118268,POS,ATT,0
25,LogisticRegression,0.5829254778834612,POS,ATT,0
26,LogisticRegression,0.581269290084569,POS,ATT,0
27,LogisticRegression,0.5786312064622471,POS,ATT,0
28,LogisticRegression,0.5885441230226255,POS,ATT,0
29,LogisticRegression,0.5847857935322821,POS,ATT,0
30,LogisticRegression,0.5827845185398027,POS,ATT,0
31,LogisticRegression,0.5864622122720631,POS,ATT,0
32,LogisticRegression,0.5881806120141974,POS,ATT,0
33,LogisticRegression,0.5796141972491844,POS,ATT,0
34,LogisticRegression,0.5831837472626001,POS,ATT,0
35,LogisticRegression,0.575555382181322,POS,ATT,0
36,LogisticRegression,0.5863860718295681,POS,ATT,0
37,LogisticRegression,0.586451927811963,POS,ATT,0
38,LogisticRegression,0.5837596674226191,POS,ATT,0
39,LogisticRegression,0.585545383480035,POS,ATT,0
40,LogisticRegression,0.5838732094488189,POS,ATT,0
41,LogisticRegression,0.5884852898962076,POS,ATT,0
42,LogisticRegression,0.5876906571194502,POS,ATT,0
43,LogisticRegression,0.589618743054138,POS,ATT,0
44,LogisticRegression,0.5880884786274183,POS,ATT,0
45,LogisticRegression,0.5805338168268198,POS,ATT,0
46,LogisticRegression,0.5887593989359299,POS,ATT,0
47,LogisticRegression,0.5833798574617646,POS,ATT,0
48,LogisticRegression,0.5844073229511118,POS,ATT,0
49,LogisticRegression,0.588448957480315,POS,ATT,0
