"","firstgabor","corrAns","blocks.thisRepN","blocks.thisTrialN","blocks.thisN","blocks.thisIndex","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_2.keys","key_resp_2.rt","resp.keys","resp.corr","resp.rt","resp_mrating.keys","resp_mrating.rt","lumi","mean","luminance","expName","participant","frameRate","session","date","blocks.thisTrial","X"
"24",1,"left",0,0,0,0,2,3,23,0,2,0.729487063,1,1,0.681875495,2,0.52874693,0.09,0.958333333,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"25",1,"left",0,0,0,0,2,4,24,4,1,0.306051922,1,1,0.470083042,2,0.540487639,0.09,0.96,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"26",2,"down",0,0,0,0,2,5,25,7,1,0.329451334,1,0,0.6582266,1,1.270036302,0.09,0.923076923,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"27",1,"left",0,0,0,0,2,6,26,6,1,0.389259841,1,1,0.599535377,3,1.669879913,0.09,0.925925926,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"28",1,"left",0,0,0,0,2,7,27,2,1,0.27069697,1,1,0.528940587,2,0.446381017,0.09,0.928571429,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"29",2,"down",0,0,0,0,2,8,28,3,1,0.270679259,2,1,0.987774571,2,0.975732788,0.09,0.931034483,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"30",2,"down",0,0,0,0,2,9,29,9,2,0.88244815,2,1,1.364172955,3,0.446365231,0.09,0.933333333,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"31",2,"down",0,0,0,0,3,0,30,9,2,0.670678027,2,1,1.164211686,3,0.728698959,0.09,0.935483871,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"32",1,"left",0,0,0,0,3,1,31,6,2,0.764775025,2,0,0.775988277,1,0.693421392,0.09,0.90625,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"33",2,"down",0,0,0,0,3,2,32,7,2,0.32952795,2,1,1.211218412,1,0.787534174,0.09,0.909090909,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"34",2,"down",0,0,0,0,3,3,33,1,2,0.800061062,2,1,0.905462943,3,0.64634344,0.09,0.911764706,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"35",2,"down",0,0,0,0,3,4,34,3,2,0.576493634,2,1,0.881817513,3,0.387604322,0.09,0.914285714,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"36",2,"down",0,0,0,0,3,5,35,5,1,1.364731211,2,1,1.081865793,1,0.411064949,0.09,0.916666667,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"37",1,"left",0,0,0,0,3,6,36,0,1,0.341323329,1,1,0.646492052,2,0.505285148,0.09,0.918918919,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"38",1,"left",0,0,0,0,3,7,37,8,2,0.306021892,1,1,0.622912843,3,0.422970825,0.09,0.921052632,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"39",1,"left",0,0,0,0,3,8,38,4,1,0.270544508,1,1,0.411386043,2,0.611040463,0.09,0.923076923,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"40",1,"left",0,0,0,0,3,9,39,2,2,0.376592811,1,1,0.599506116,3,0.446389872,0.09,0.925,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"41",2,"down",0,0,0,0,4,0,40,7,1,0.529479593,2,1,0.98775301,1,0.54055694,0.09,0.926829268,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"42",1,"left",0,0,0,0,4,1,41,2,1,0.364636115,1,1,0.423273823,1,0.493437023,0.09,0.928571429,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"43",2,"down",0,0,0,0,4,2,42,3,2,0.529520019,2,1,1.493738866,2,0.610668934,0.09,0.930232558,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"44",1,"left",0,0,0,0,4,3,43,8,2,0.353057878,1,1,0.999435199,2,1.16411505,0.09,0.931818182,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"45",2,"down",0,0,0,0,4,4,44,1,1,0.352995122,2,1,0.858332631,1,0.305179888,0.09,0.933333333,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"46",2,"down",0,0,0,0,4,5,45,9,2,0.587831243,2,1,0.964655827,3,0.305216848,0.09,0.934782609,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"47",2,"down",0,0,0,0,4,6,46,5,2,0.388382416,2,1,1.328808762,3,0.387605092,0.09,0.936170213,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"48",1,"left",0,0,0,0,4,7,47,4,2,0.317754131,1,1,0.458477084,2,0.328614335,0.09,0.9375,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"49",1,"left",0,0,0,0,4,8,48,0,1,0.235436728,1,1,0.481740204,1,0.411224341,0.09,0.93877551,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"50",1,"left",0,0,0,0,4,9,49,6,2,0.376545071,1,1,0.775867771,1,0.352438406,0.09,0.94,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"51",2,"down",1,0,1,0,0,0,0,5,2,1.247110446,2,1,0.752173831,2,0.963866953,0.09,1,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"52",2,"down",1,0,1,0,0,1,1,7,2,1.094162448,1,0,1.023052523,1,0.399295365,0.09,0.5,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"53",1,"left",1,0,1,0,0,2,2,4,2,0.976498562,2,0,0.658353267,1,0.999300832,0.09,0.333333333,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"54",2,"down",1,0,1,0,0,3,3,9,2,1.999928004,2,1,0.717156142,3,0.434663793,0.09,0.5,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"55",1,"left",1,0,1,0,0,4,4,2,2,0.411857673,1,1,0.376011455,1,0.399375061,0.09,0.6,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"56",2,"down",1,0,1,0,0,5,5,1,2,0.941240245,2,1,0.517276109,2,0.999186871,0.09,0.666666667,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"57",1,"left",1,0,1,0,0,6,6,6,1,0.27071622,1,1,0.43485129,2,0.564059147,0.09,0.714285714,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"58",2,"down",1,0,1,0,0,7,7,3,1,0.506104822,2,1,0.728751704,1,0.352263229,0.09,0.75,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"59",1,"left",1,0,1,0,0,8,8,8,2,0.38836124,1,1,0.493648005,3,0.528771955,0.09,0.777777778,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"60",1,"left",1,0,1,0,0,9,9,0,2,0.905964218,1,1,0.505381784,3,0.669943439,0.09,0.8,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"61",1,"left",1,0,1,0,1,0,10,2,2,0.694147125,1,1,0.587756167,1,0.705210996,0.09,0.818181818,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"62",2,"down",1,0,1,0,1,1,11,3,1,0.83542949,1,0,0.458347338,1,0.940466002,0.09,0.75,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"63",2,"down",1,0,1,0,1,2,12,7,1,0.576655721,2,1,0.575866847,1,0.952246751,0.09,0.769230769,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"64",2,"down",1,0,1,0,1,3,13,9,2,1.505929645,2,1,2.587578295,1,0.787557659,0.09,0.785714286,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"65",1,"left",1,0,1,0,1,4,14,0,2,1.81178252,1,1,0.68184508,1,0.364077474,0.09,0.8,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"66",1,"left",1,0,1,0,1,5,15,6,2,1.12947428,2,0,0.599547697,1,0.646414281,0.09,0.75,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"67",2,"down",1,0,1,0,1,6,16,1,1,0.294204567,2,1,0.493668025,2,0.599317464,0.09,0.764705882,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"68",1,"left",1,0,1,0,1,7,17,4,1,0.600099023,1,1,0.552468975,1,0.46990979,0.09,0.777777778,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"69",2,"down",1,0,1,0,1,8,18,5,1,1.152954928,2,1,0.55246782,1,0.728773264,0.09,0.789473684,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"70",1,"left",1,0,1,0,1,9,19,8,1,0.364774332,1,1,0.399510582,1,0.493421623,0.09,0.8,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"71",2,"down",1,0,1,0,2,0,20,7,1,0.635363885,2,1,0.787763252,2,0.575812176,0.09,0.80952381,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"72",2,"down",1,0,1,0,2,1,21,5,1,0.811833341,2,1,0.56425319,3,0.575822571,0.09,0.818181818,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"73",2,"down",1,0,1,0,2,2,22,9,1,0.646923257,2,1,0.670255678,1,0.622829682,0.09,0.826086957,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"74",1,"left",1,0,1,0,2,3,23,2,2,0.400095019,2,0,0.693672029,3,0.328725601,0.09,0.791666667,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"75",1,"left",1,0,1,0,2,4,24,0,1,0.635414321,1,1,0.657646399,3,0.529456878,0.09,0.8,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"76",2,"down",1,0,1,0,2,5,25,1,1,0.282471944,2,1,0.681883195,3,0.422807198,0.09,0.807692308,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"77",1,"left",1,0,1,0,2,6,26,4,2,0.494196636,1,1,0.411298262,3,0.469955605,0.09,0.814814815,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"78",1,"left",1,0,1,0,2,7,27,8,1,0.282460779,1,1,0.552463585,2,0.328089959,0.09,0.821428571,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"79",2,"down",1,0,1,0,2,8,28,3,1,0.76480929,2,1,0.564165024,3,0.705209071,0.09,0.827586207,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"80",1,"left",1,0,1,0,2,9,29,6,1,0.388322355,1,1,0.470205858,1,0.458063205,0.09,0.833333333,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"81",1,"left",1,0,1,0,3,0,30,0,1,0.282525074,1,1,0.482057448,2,0.422606611,0.09,0.838709677,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"82",1,"left",1,0,1,0,3,1,31,4,1,0.611844737,1,1,0.399613764,1,0.375717696,0.09,0.84375,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"83",2,"down",1,0,1,0,3,2,32,5,1,0.364827462,2,1,0.552428165,1,1.21107981,0.09,0.848484848,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"84",1,"left",1,0,1,0,3,3,33,8,2,0.400117349,1,1,0.470180448,2,0.422934249,0.09,0.852941176,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"85",2,"down",1,0,1,0,3,4,34,9,2,0.964788654,2,1,2.164155476,2,1.069685409,0.09,0.857142857,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"86",2,"down",1,0,1,0,3,5,35,3,2,0.835363654,2,1,0.999490639,2,1.164008019,0.09,0.861111111,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"87",1,"left",1,0,1,0,3,6,36,6,2,1.070620585,1,1,0.458278422,3,0.458264947,0.09,0.864864865,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"88",2,"down",1,0,1,0,3,7,37,7,2,0.553011062,2,1,1.140672133,2,1.399309225,0.09,0.868421053,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"89",2,"down",1,0,1,0,3,8,38,1,1,1.717723638,2,1,0.834605195,1,0.328925803,0.09,0.871794872,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"90",1,"left",1,0,1,0,3,9,39,2,2,0.600139064,1,1,0.352535042,3,0.387516156,0.09,0.875,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"91",1,"left",1,0,1,0,4,0,40,2,2,0.529417993,2,0,0.658350572,1,0.352260919,0.09,0.853658537,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"92",2,"down",1,0,1,0,4,1,41,3,2,1.541166017,1,0,0.611288021,1,0.399383916,0.09,0.833333333,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"93",2,"down",1,0,1,0,4,2,42,7,1,0.258933931,2,1,0.458236842,1,0.399460917,0.09,0.837209302,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"94",2,"down",1,0,1,0,4,3,43,5,2,1.364652285,2,1,1.023169179,2,1.57570091,0.09,0.840909091,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"95",2,"down",1,0,1,0,4,4,44,9,2,1.058839835,2,1,1.128904089,2,0.693457197,0.09,0.844444444,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"96",2,"down",1,0,1,0,4,5,45,1,1,0.588314039,2,1,0.611279936,1,0.669931504,0.09,0.847826087,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"97",1,"left",1,0,1,0,4,6,46,0,1,0.282470019,1,1,0.481883811,2,0.375792772,0.09,0.85106383,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"98",1,"left",1,0,1,0,4,7,47,8,2,0.317786471,1,1,0.423043591,1,0.387595082,0.09,0.854166667,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"99",1,"left",1,0,1,0,4,8,48,6,1,0.306309105,1,1,0.305059766,3,0.269924266,0.09,0.857142857,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"100",1,"left",1,0,1,0,4,9,49,4,1,1.329613421,1,1,0.716923214,2,2.528622959,0.09,0.86,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"101",1,"left",2,0,2,0,0,0,0,8,2,0.776556159,2,0,0.752317438,1,0.469579841,0.09,0,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"102",1,"left",2,0,2,0,0,1,1,6,1,0.376610521,1,1,0.540738277,2,0.716910894,0.09,0.5,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"103",1,"left",2,0,2,0,0,2,2,2,1,0.376548921,1,1,0.576020849,1,0.446521158,0.09,0.666666667,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"104",2,"down",2,0,2,0,0,3,3,1,1,0.235403232,2,1,0.552550211,3,0.528674934,0.09,0.75,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"105",2,"down",2,0,2,0,0,4,4,9,2,1.541140991,2,1,0.764243334,2,0.7875823,0.09,0.8,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"106",1,"left",2,0,2,0,0,5,5,4,1,0.306058468,1,1,0.575957708,3,0.39928651,0.09,0.833333333,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"107",1,"left",2,0,2,0,0,6,6,0,1,0.258955876,1,1,0.352468051,3,0.446434532,0.09,0.857142857,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"108",2,"down",2,0,2,0,0,7,7,7,2,0.5178001,2,1,1.67000735,1,0.364027423,0.09,0.875,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"109",2,"down",2,0,2,0,0,8,8,3,2,0.64718429,2,1,0.587591386,3,0.293613586,0.09,0.888888889,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"110",2,"down",2,0,2,0,0,9,9,5,2,0.411841118,2,1,0.481901521,2,0.528745775,0.09,0.9,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"111",1,"left",2,0,2,0,1,0,10,4,1,0.376603206,1,1,0.458354653,2,0.669905324,0.09,0.909090909,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"112",1,"left",2,0,2,0,1,1,11,0,2,0.835329774,2,0,0.658402933,1,0.505794124,0.09,0.833333333,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"113",2,"down",2,0,2,0,1,2,12,5,1,0.400079234,2,1,0.564272825,2,0.740500113,0.09,0.846153846,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"114",1,"left",2,0,2,0,1,3,13,6,1,0.517728875,1,1,0.49365455,2,2.846183817,0.09,0.857142857,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"115",2,"down",2,0,2,0,1,4,14,1,1,0.541282673,2,1,0.658345567,2,0.66998733,0.09,0.866666667,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"116",2,"down",2,0,2,0,1,5,15,7,1,0.741220841,2,1,0.776015998,1,0.916934918,0.09,0.875,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"117",1,"left",2,0,2,0,1,6,16,2,1,0.317883492,1,1,0.422906914,1,0.822833301,0.09,0.882352941,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"118",2,"down",2,0,2,0,1,7,17,3,1,0.553071892,2,1,0.564145003,2,0.6463727,0.09,0.888888889,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"119",1,"left",2,0,2,0,1,8,18,8,1,0.282487729,1,1,0.4348305,2,0.987630194,0.09,0.894736842,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"120",2,"down",2,0,2,0,1,9,19,9,1,0.564791041,2,1,0.623052215,2,0.611115539,0.09,0.9,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"121",1,"left",2,0,2,0,2,0,20,2,1,0.341269814,1,1,0.399514817,3,1.011045006,0.09,0.904761905,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"122",1,"left",2,0,2,0,2,1,21,0,2,0.564796816,1,1,0.446547338,1,0.587568285,0.09,0.909090909,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"123",2,"down",2,0,2,0,2,2,22,3,1,0.611828567,2,1,1.105430756,1,0.493386202,0.09,0.913043478,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"124",1,"left",2,0,2,0,2,3,23,6,2,0.494266322,1,1,0.552751184,3,0.422498424,0.09,0.916666667,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"125",2,"down",2,0,2,0,2,4,24,5,1,0.717518431,2,1,0.834913584,2,0.505279758,0.09,0.92,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"126",1,"left",2,0,2,0,2,5,25,4,1,0.282442298,1,1,0.423105961,3,0.787500294,0.09,0.923076923,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"127",2,"down",2,0,2,0,2,6,26,9,2,0.306052307,2,1,1.105520077,3,0.481302839,0.09,0.925925926,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"128",2,"down",2,0,2,0,2,7,27,1,2,0.611882852,2,1,1.023011327,2,1.152232275,0.09,0.928571429,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"129",2,"down",2,0,2,0,2,8,28,7,1,0.811864911,2,1,1.29356392,1,0.458193721,0.09,0.931034483,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"130",1,"left",2,0,2,0,2,9,29,8,1,0.447176051,1,1,0.411315202,1,0.705285687,0.09,0.933333333,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"131",1,"left",2,0,2,0,3,0,30,2,1,0.541203747,1,1,0.46950592,2,0.68230901,0.09,0.935483871,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
