awareness,confidence,correct,experiment_test,experiment_train,fold,model,participant,score,sub,window
,,,POS,ATT,50.5,RandomForestClassifier,RP,0.48156913988428035,,2
,,,POS,ATT,50.5,RandomForestClassifier,SD,0.5524346834633405,,2
,,,ATT,POS,50.5,RandomForestClassifier,SO,0.5373671632874056,,2
,,,ATT,POS,50.5,RandomForestClassifier,SP,0.43930939957652754,,2
,,,POS,ATT,50.5,RandomForestClassifier,TJ,0.518730038948393,,2
,,,POS,ATT,50.5,RandomForestClassifier,TS,0.5314568949827101,,2
,,,ATT,POS,50.5,RandomForestClassifier,WT,0.49296753317315256,,2
,,,POS,ATT,50.5,RandomForestClassifier,WT,0.49178354114713246,,2
,,,ATT,POS,50.5,RandomForestClassifier,YS,0.4558498210139314,,2
,,,POS,ATT,50.5,LogisticRegression,AC,0.5039312444181688,,3
,,,ATT,POS,50.5,LogisticRegression,AS,0.5304468058350106,,3
,,,ATT,POS,50.5,LogisticRegression,BG,0.43938365572427707,,3
,,,POS,ATT,50.5,LogisticRegression,CL,0.525092344006198,,3
,,,ATT,POS,50.5,LogisticRegression,EU,0.5343837011884556,,3
,,,POS,ATT,50.5,LogisticRegression,FW,0.5031813384866299,,3
,,,POS,ATT,50.5,LogisticRegression,HB,0.512362261998146,,3
,,,ATT,POS,50.5,LogisticRegression,IK,0.45585658988514427,,3
,,,ATT,POS,50.5,LogisticRegression,JD,0.48717178068410477,,3
,,,ATT,POS,50.5,LogisticRegression,JZ,0.5035150411592878,,3
,,,ATT,POS,50.5,LogisticRegression,KK,0.5831416495901637,,3
,,,POS,ATT,50.5,LogisticRegression,KK,0.4984183705726894,,3
,,,ATT,POS,50.5,LogisticRegression,KS,0.4827887228260865,,3
,,,POS,ATT,50.5,LogisticRegression,LM,0.4883617155870447,,3
,,,POS,ATT,50.5,LogisticRegression,MC,0.5352170663767921,,3
,,,POS,ATT,50.5,LogisticRegression,MP1,0.5613351864634444,,3
,,,POS,ATT,50.5,LogisticRegression,MP2,0.6053007849109654,,3
,,,POS,ATT,50.5,LogisticRegression,NN,0.5035419313450484,,3
,,,ATT,POS,50.5,LogisticRegression,OE,0.5372710809281278,,3
,,,ATT,POS,50.5,LogisticRegression,OS,0.5013519745222927,,3
,,,ATT,POS,50.5,LogisticRegression,PC,0.49134302266231067,,3
,,,ATT,POS,50.5,LogisticRegression,RL,0.45076964464464453,,3
,,,POS,ATT,50.5,LogisticRegression,RP,0.5529215773150199,,3
,,,POS,ATT,50.5,LogisticRegression,SD,0.4465325520833335,,3
