window,model,participant,experiment_test,experiment_train,fold,score
2,LogisticRegression,HB,POS,ATT,50.5,0.5705523426712058
2,LogisticRegression,IK,ATT,POS,50.5,0.47414483933787666
2,LogisticRegression,JD,ATT,POS,50.5,0.4620673233425363
2,LogisticRegression,JZ,ATT,POS,50.5,0.5884386337438562
2,LogisticRegression,KK,ATT,POS,50.5,0.6095415950920234
2,LogisticRegression,KK,POS,ATT,50.5,0.5250345606725062
2,LogisticRegression,KS,ATT,POS,50.5,0.45545785646233133
2,LogisticRegression,LM,POS,ATT,50.5,0.4976678531080311
2,LogisticRegression,MC,POS,ATT,50.5,0.48907230666509544
2,LogisticRegression,MP1,POS,ATT,50.5,0.5387060069276185
2,LogisticRegression,MP2,POS,ATT,50.5,0.6054906555248153
2,LogisticRegression,NN,POS,ATT,50.5,0.4748531256029325
2,LogisticRegression,OE,ATT,POS,50.5,0.5208415734130816
2,LogisticRegression,OS,ATT,POS,50.5,0.519493435234176
2,LogisticRegression,PC,ATT,POS,50.5,0.4933857668711649
2,LogisticRegression,RL,ATT,POS,50.5,0.47112502419667096
2,LogisticRegression,RP,POS,ATT,50.5,0.46688870520737075
2,LogisticRegression,SD,POS,ATT,50.5,0.5667562118494412
2,LogisticRegression,SO,ATT,POS,50.5,0.5324198747868522
2,LogisticRegression,SP,ATT,POS,50.5,0.4459841954022993
2,LogisticRegression,TJ,POS,ATT,50.5,0.5164661635832519
2,LogisticRegression,TS,POS,ATT,50.5,0.5198241824910517
2,LogisticRegression,WT,ATT,POS,50.5,0.49416744141120234
2,LogisticRegression,WT,POS,ATT,50.5,0.49081125757035954
2,LogisticRegression,YS,ATT,POS,50.5,0.45641689241486
2,RandomForestClassifier,AC,POS,ATT,50.5,0.49661056185194113
2,RandomForestClassifier,AS,ATT,POS,50.5,0.5233533879913197
2,RandomForestClassifier,BG,ATT,POS,50.5,0.49979890222570733
2,RandomForestClassifier,CL,POS,ATT,50.5,0.5193475336322868
2,RandomForestClassifier,EU,ATT,POS,50.5,0.5745282131661438
2,RandomForestClassifier,FW,POS,ATT,50.5,0.5138890055103643
2,RandomForestClassifier,HB,POS,ATT,50.5,0.5753601848433889
2,RandomForestClassifier,IK,ATT,POS,50.5,0.48018549172346586
2,RandomForestClassifier,JD,ATT,POS,50.5,0.4608760232931044
2,RandomForestClassifier,JZ,ATT,POS,50.5,0.5874664806163918
2,RandomForestClassifier,KK,ATT,POS,50.5,0.6082410429447848
2,RandomForestClassifier,KK,POS,ATT,50.5,0.5334222961892154
2,RandomForestClassifier,KS,ATT,POS,50.5,0.4534426367901206
2,RandomForestClassifier,LM,POS,ATT,50.5,0.5042648720222549
2,RandomForestClassifier,MC,POS,ATT,50.5,0.4776053572129923
2,RandomForestClassifier,MP1,POS,ATT,50.5,0.5378614117266993
2,RandomForestClassifier,MP2,POS,ATT,50.5,0.6029080091468583
2,RandomForestClassifier,NN,POS,ATT,50.5,0.47527300791047644
2,RandomForestClassifier,OE,ATT,POS,50.5,0.5224377170557594
2,RandomForestClassifier,OS,ATT,POS,50.5,0.5159243337252595
2,RandomForestClassifier,PC,ATT,POS,50.5,0.4961125153374229
2,RandomForestClassifier,RL,ATT,POS,50.5,0.4672975948509489
2,RandomForestClassifier,RP,POS,ATT,50.5,0.48156913988428035
2,RandomForestClassifier,SD,POS,ATT,50.5,0.5524346834633405
2,RandomForestClassifier,SO,ATT,POS,50.5,0.5373671632874056
2,RandomForestClassifier,SP,ATT,POS,50.5,0.43930939957652754
2,RandomForestClassifier,TJ,POS,ATT,50.5,0.518730038948393
2,RandomForestClassifier,TS,POS,ATT,50.5,0.5314568949827101
2,RandomForestClassifier,WT,ATT,POS,50.5,0.49296753317315256
2,RandomForestClassifier,WT,POS,ATT,50.5,0.49178354114713246
2,RandomForestClassifier,YS,ATT,POS,50.5,0.4558498210139314
3,LogisticRegression,AC,POS,ATT,50.5,0.5039312444181688
3,LogisticRegression,AS,ATT,POS,50.5,0.5304468058350106
3,LogisticRegression,BG,ATT,POS,50.5,0.43938365572427707
3,LogisticRegression,CL,POS,ATT,50.5,0.525092344006198
3,LogisticRegression,EU,ATT,POS,50.5,0.5343837011884556
3,LogisticRegression,FW,POS,ATT,50.5,0.5031813384866299
3,LogisticRegression,HB,POS,ATT,50.5,0.512362261998146
3,LogisticRegression,IK,ATT,POS,50.5,0.45585658988514427
3,LogisticRegression,JD,ATT,POS,50.5,0.48717178068410477
3,LogisticRegression,JZ,ATT,POS,50.5,0.5035150411592878
3,LogisticRegression,KK,ATT,POS,50.5,0.5831416495901637
3,LogisticRegression,KK,POS,ATT,50.5,0.4984183705726894
3,LogisticRegression,KS,ATT,POS,50.5,0.4827887228260865
3,LogisticRegression,LM,POS,ATT,50.5,0.4883617155870447
3,LogisticRegression,MC,POS,ATT,50.5,0.5352170663767921
3,LogisticRegression,MP1,POS,ATT,50.5,0.5613351864634444
3,LogisticRegression,MP2,POS,ATT,50.5,0.6053007849109654
3,LogisticRegression,NN,POS,ATT,50.5,0.5035419313450484
3,LogisticRegression,OE,ATT,POS,50.5,0.5372710809281278
3,LogisticRegression,OS,ATT,POS,50.5,0.5013519745222927
3,LogisticRegression,PC,ATT,POS,50.5,0.49134302266231067
3,LogisticRegression,RL,ATT,POS,50.5,0.45076964464464453
3,LogisticRegression,RP,POS,ATT,50.5,0.5529215773150199
3,LogisticRegression,SD,POS,ATT,50.5,0.4465325520833335
3,LogisticRegression,SO,ATT,POS,50.5,0.5151108239348379
3,LogisticRegression,SP,ATT,POS,50.5,0.5283222163865542
3,LogisticRegression,TJ,POS,ATT,50.5,0.53525390625
3,LogisticRegression,TS,POS,ATT,50.5,0.5035549246505026
3,LogisticRegression,WT,ATT,POS,50.5,0.47326507466448203
3,LogisticRegression,WT,POS,ATT,50.5,0.5196203344281876
3,LogisticRegression,YS,ATT,POS,50.5,0.49366845459708464
3,RandomForestClassifier,AC,POS,ATT,50.5,0.5059814588862752
3,RandomForestClassifier,AS,ATT,POS,50.5,0.5304420271629787
3,RandomForestClassifier,BG,ATT,POS,50.5,0.43878785205721127
3,RandomForestClassifier,CL,POS,ATT,50.5,0.5319267914737204
3,RandomForestClassifier,EU,ATT,POS,50.5,0.5339235364396662
3,RandomForestClassifier,FW,POS,ATT,50.5,0.5050840837136631
3,RandomForestClassifier,HB,POS,ATT,50.5,0.5169437352920205
3,RandomForestClassifier,IK,ATT,POS,50.5,0.45751164413985584
3,RandomForestClassifier,JD,ATT,POS,50.5,0.48781677565392345
3,RandomForestClassifier,JZ,ATT,POS,50.5,0.5011381712883929
3,RandomForestClassifier,KK,ATT,POS,50.5,0.5829733606557373
3,RandomForestClassifier,KK,POS,ATT,50.5,0.4987428398012214
3,RandomForestClassifier,KS,ATT,POS,50.5,0.4854501937399352
3,RandomForestClassifier,LM,POS,ATT,50.5,0.49589056174089097
3,RandomForestClassifier,MC,POS,ATT,50.5,0.542281676744344
3,RandomForestClassifier,MP1,POS,ATT,50.5,0.5578631792996661
3,RandomForestClassifier,MP2,POS,ATT,50.5,0.6035028116213682
3,RandomForestClassifier,NN,POS,ATT,50.5,0.49957068642372826
3,RandomForestClassifier,OE,ATT,POS,50.5,0.5364988995786966
3,RandomForestClassifier,OS,ATT,POS,50.5,0.5023826114649674
3,RandomForestClassifier,PC,ATT,POS,50.5,0.49163446815026524
3,RandomForestClassifier,RL,ATT,POS,50.5,0.44743656156156164
3,RandomForestClassifier,RP,POS,ATT,50.5,0.5481274764225583
3,RandomForestClassifier,SD,POS,ATT,50.5,0.46404239004629616
3,RandomForestClassifier,SO,ATT,POS,50.5,0.5207504438178786
3,RandomForestClassifier,SP,ATT,POS,50.5,0.5286878939075623
3,RandomForestClassifier,TJ,POS,ATT,50.5,0.5271278916396104
3,RandomForestClassifier,TS,POS,ATT,50.5,0.5001861874041499
3,RandomForestClassifier,WT,ATT,POS,50.5,0.47336550941969596
3,RandomForestClassifier,WT,POS,ATT,50.5,0.5149156464616303
3,RandomForestClassifier,YS,ATT,POS,50.5,0.49332592919795587
4,LogisticRegression,AC,POS,ATT,50.5,0.45766607152234406
4,LogisticRegression,AS,ATT,POS,50.5,0.5034200196914995
4,LogisticRegression,BG,ATT,POS,50.5,0.3867439223751515
4,LogisticRegression,CL,POS,ATT,50.5,0.44493951612903226
4,LogisticRegression,EU,ATT,POS,50.5,0.4729778798818516
4,LogisticRegression,FW,POS,ATT,50.5,0.49759487530673974
4,LogisticRegression,HB,POS,ATT,50.5,0.4772163647163652
4,LogisticRegression,IK,ATT,POS,50.5,0.42146685752912627
4,LogisticRegression,JD,ATT,POS,50.5,0.5264708893994088
4,LogisticRegression,JZ,ATT,POS,50.5,0.47572913914284237
4,LogisticRegression,KK,ATT,POS,50.5,0.5798930846223844
4,LogisticRegression,KK,POS,ATT,50.5,0.5222450702367609
4,LogisticRegression,KS,ATT,POS,50.5,0.4977993353212403
4,LogisticRegression,LM,POS,ATT,50.5,0.48699904983108083
4,LogisticRegression,MC,POS,ATT,50.5,0.4273179535467673
4,LogisticRegression,MP1,POS,ATT,50.5,0.4949354293105164
4,LogisticRegression,MP2,POS,ATT,50.5,0.4190033752964787
4,LogisticRegression,NN,POS,ATT,50.5,0.4912204569327732
4,LogisticRegression,OE,ATT,POS,50.5,0.5270888468809072
4,LogisticRegression,OS,ATT,POS,50.5,0.5159906886672332
4,LogisticRegression,PC,ATT,POS,50.5,0.44460214053047914
4,LogisticRegression,RL,ATT,POS,50.5,0.4696528487356922
4,LogisticRegression,RP,POS,ATT,50.5,0.5199256618472308
4,LogisticRegression,SD,POS,ATT,50.5,0.42753958568738226
4,LogisticRegression,SO,ATT,POS,50.5,0.5141523822562973
4,LogisticRegression,SP,ATT,POS,50.5,0.4538723012690211
4,LogisticRegression,TJ,POS,ATT,50.5,0.47137986754966915
4,LogisticRegression,TS,POS,ATT,50.5,0.5016193121693127
4,LogisticRegression,WT,ATT,POS,50.5,0.45777212226430875
4,LogisticRegression,WT,POS,ATT,50.5,0.46672197076032645
4,LogisticRegression,YS,ATT,POS,50.5,0.5042888566912542
4,RandomForestClassifier,AC,POS,ATT,50.5,0.45784986609252754
4,RandomForestClassifier,AS,ATT,POS,50.5,0.5037042336724644
4,RandomForestClassifier,BG,ATT,POS,50.5,0.3816197331645833
4,RandomForestClassifier,CL,POS,ATT,50.5,0.44082585921012984
4,RandomForestClassifier,EU,ATT,POS,50.5,0.4719649491302919
4,RandomForestClassifier,FW,POS,ATT,50.5,0.5014269816812191
4,RandomForestClassifier,HB,POS,ATT,50.5,0.4646623106623109
4,RandomForestClassifier,IK,ATT,POS,50.5,0.42211459700186893
4,RandomForestClassifier,JD,ATT,POS,50.5,0.5265654742369545
4,RandomForestClassifier,JZ,ATT,POS,50.5,0.47097843893674335
4,RandomForestClassifier,KK,ATT,POS,50.5,0.5799852807364976
4,RandomForestClassifier,KK,POS,ATT,50.5,0.5248876871331531
4,RandomForestClassifier,KS,ATT,POS,50.5,0.497560523861442
4,RandomForestClassifier,LM,POS,ATT,50.5,0.48994932432432464
4,RandomForestClassifier,MC,POS,ATT,50.5,0.427751811904354
4,RandomForestClassifier,MP1,POS,ATT,50.5,0.4915421351109341
4,RandomForestClassifier,MP2,POS,ATT,50.5,0.41308930852034315
4,RandomForestClassifier,NN,POS,ATT,50.5,0.49226667542016783
4,RandomForestClassifier,OE,ATT,POS,50.5,0.526132377651754
4,RandomForestClassifier,OS,ATT,POS,50.5,0.5183589770797971
4,RandomForestClassifier,PC,ATT,POS,50.5,0.4415234993020009
4,RandomForestClassifier,RL,ATT,POS,50.5,0.4672208497704198
4,RandomForestClassifier,RP,POS,ATT,50.5,0.5117862282960326
4,RandomForestClassifier,SD,POS,ATT,50.5,0.4466349529190207
4,RandomForestClassifier,SO,ATT,POS,50.5,0.5193882803943048
4,RandomForestClassifier,SP,ATT,POS,50.5,0.4646532165027738
4,RandomForestClassifier,TJ,POS,ATT,50.5,0.4766699337748348
4,RandomForestClassifier,TS,POS,ATT,50.5,0.5080484126984132
4,RandomForestClassifier,WT,ATT,POS,50.5,0.45692958228114494
4,RandomForestClassifier,WT,POS,ATT,50.5,0.46870613654643817
4,RandomForestClassifier,YS,ATT,POS,50.5,0.5064241306638572
